epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.792,0.65115,2.19794,1.28345,0.52241,0.5172,0.55071,0.4144,0.82275,1.68673,1.46976,0.000332831,0.000332831,0.000332831
2,227.856,0.67276,1.57545,1.28752,0.74388,0.53201,0.63928,0.43044,0.93062,1.44293,1.54597,0.00064418,0.00064418,0.00064418
3,336.852,0.66784,1.38284,1.26664,0.58626,0.6525,0.65766,0.50178,0.86143,1.41299,1.43981,0.00093353,0.00093353,0.00093353
4,449.16,0.65248,1.28152,1.26093,0.75539,0.66593,0.75993,0.61929,0.66394,1.06242,1.24866,0.000901,0.000901,0.000901
5,558.942,0.61163,1.19629,1.23182,0.67389,0.77449,0.79113,0.64653,0.67955,0.94913,1.26103,0.000868,0.000868,0.000868
6,667.551,0.60825,1.12244,1.22874,0.62937,0.68554,0.76114,0.61722,0.64402,1.15211,1.22359,0.000835,0.000835,0.000835
7,776.917,0.57661,1.04827,1.20076,0.70186,0.74911,0.80273,0.68392,0.58433,0.92424,1.14239,0.000802,0.000802,0.000802
8,886.455,0.55494,1.02211,1.19091,0.77407,0.7958,0.83027,0.6737,0.65753,0.84483,1.21561,0.000769,0.000769,0.000769
9,994.919,0.54117,0.9677,1.18788,0.81394,0.74647,0.85172,0.7007,0.64846,0.88101,1.22342,0.000736,0.000736,0.000736
10,1103.75,0.51929,0.90286,1.16259,0.82755,0.78661,0.86492,0.72436,0.61473,0.7974,1.15713,0.000703,0.000703,0.000703
11,1213.63,0.51305,0.87762,1.16054,0.80018,0.80439,0.85478,0.72799,0.55789,0.76286,1.08521,0.00067,0.00067,0.00067
12,1324.39,0.50491,0.85404,1.15589,0.6806,0.82228,0.83922,0.71718,0.55801,0.88145,1.08584,0.000637,0.000637,0.000637
13,1435.44,0.48715,0.8266,1.14669,0.82579,0.85925,0.89942,0.769,0.53427,0.65,1.07753,0.000604,0.000604,0.000604
14,1545.43,0.48439,0.79601,1.14467,0.82499,0.76057,0.87422,0.74793,0.55378,0.73814,1.06921,0.000571,0.000571,0.000571
15,1655.59,0.47221,0.76155,1.13189,0.89209,0.79904,0.90268,0.78726,0.52582,0.63374,1.05365,0.000538,0.000538,0.000538
16,1765.4,0.46986,0.74705,1.13277,0.78555,0.83614,0.88044,0.77124,0.51494,0.69353,1.055,0.000505,0.000505,0.000505
17,1877.02,0.45176,0.70924,1.12155,0.89073,0.82549,0.90998,0.79942,0.52314,0.60093,1.03337,0.000472,0.000472,0.000472
18,1985.8,0.44481,0.69691,1.11395,0.86044,0.81651,0.90634,0.79868,0.51203,0.60612,1.03936,0.000439,0.000439,0.000439
19,2093.67,0.44457,0.67463,1.11691,0.81491,0.86712,0.91322,0.8142,0.49161,0.60066,1.02449,0.000406,0.000406,0.000406
20,2202.08,0.43253,0.64477,1.10362,0.8696,0.83393,0.89987,0.79532,0.48623,0.61408,1.01493,0.000373,0.000373,0.000373
21,2307.17,0.33508,0.48309,1.08595,0.8411,0.8249,0.89419,0.79689,0.4987,0.63072,1.05622,0.00034,0.00034,0.00034
22,2409.65,0.31654,0.43111,1.07293,0.82469,0.85153,0.89305,0.80997,0.47919,0.64111,1.02785,0.000307,0.000307,0.000307
23,2510.69,0.30472,0.39273,1.0563,0.84564,0.859,0.92164,0.81937,0.48851,0.60587,1.03184,0.000274,0.000274,0.000274
24,2615.98,0.28336,0.35805,1.03726,0.88933,0.83393,0.91004,0.81791,0.47815,0.5959,1.01346,0.000241,0.000241,0.000241
25,2721.44,0.277,0.34334,1.03109,0.86115,0.85924,0.91133,0.82193,0.48571,0.60105,1.03924,0.000208,0.000208,0.000208
26,2827.62,0.27081,0.31856,1.02727,0.87694,0.87906,0.91592,0.82214,0.48059,0.58248,1.03586,0.000175,0.000175,0.000175
27,2933.88,0.25991,0.29395,1.01585,0.87426,0.86725,0.90753,0.81503,0.49006,0.57148,1.04244,0.000142,0.000142,0.000142
28,3039.25,0.24533,0.27587,1.00057,0.92001,0.83957,0.91782,0.82523,0.48133,0.56193,1.02358,0.000109,0.000109,0.000109
29,3145.01,0.24235,0.25789,0.9936,0.89117,0.86762,0.92392,0.84197,0.45465,0.55241,1.00093,7.6e-05,7.6e-05,7.6e-05
30,3251.72,0.2295,0.24705,0.98467,0.86037,0.89327,0.91985,0.84127,0.43775,0.5479,0.98201,4.3e-05,4.3e-05,4.3e-05
